gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000146674.16,4251.73667952629,5.525255725677225,0.1188985921249671,46.470320858551155,0,0,IGFBP3
ENSG00000106366.9,4620.312535631955,2.1555053800056694,0.09731604263610194,22.149537955071224,1.0539428372494827e-108,6.904379526821361e-105,SERPINE1
ENSG00000059804.17,13143.878205129071,1.805613054159885,0.0851496730816446,21.20516719340305,8.556605289302186e-100,3.7369547500145744e-96,SLC2A3
ENSG00000104371.5,778.948052181477,-3.7034327155514,0.18066277482677134,-20.49914665100456,2.1910186833489894e-93,7.176681697309614e-90,DKK4
ENSG00000134333.15,12321.257142113547,1.534815118418316,0.07617693576673713,20.14802909791624,2.8004325000954285e-90,7.338253323250061e-87,LDHA
ENSG00000102144.15,5322.784199490727,1.6575438106039224,0.08585303106188646,19.306759354938738,4.712283988705878e-83,1.0290057470004068e-79,PGK1
ENSG00000104765.16,1506.282127949573,2.574802564947205,0.13626861461407017,18.89505204290342,1.2526401678006408e-79,2.3445844969319996e-76,BNIP3L
ENSG00000113739.11,1725.0661427765767,2.7160231196811924,0.15033412554052286,18.066577431543198,5.842776518500772e-73,9.569007243174638e-70,STC2
ENSG00000134107.5,1189.6241654869957,2.415543760706193,0.1420836498401585,17.000856632157433,8.092861805494199e-65,1.1781408375065e-61,BHLHE40
ENSG00000116285.13,774.1544631925146,2.775771533655987,0.17491973818543133,15.868829684122948,1.0416509159854977e-56,1.3647710301241992e-53,ERRFI1
ENSG00000213626.13,934.4347641075931,2.2935322082689953,0.14602806641942095,15.706105439221016,1.3736228812697668e-55,1.6361097263996803e-52,LBH
ENSG00000168209.6,493.15648983085646,3.1891024149285925,0.20386931502049618,15.642875999303639,3.7156093217218264e-55,4.0568261110999475e-52,DDIT4
ENSG00000113369.9,381.9925095250395,4.277864316378376,0.28608140961123646,14.953311094879176,1.4819382882048614e-50,1.4935658040046225e-47,ARRDC3
ENSG00000214517.10,1673.659673151028,1.7186779478421619,0.11605963549504386,14.808576129946188,1.2894283595739675e-49,1.2067207405098659e-46,PPME1
ENSG00000213859.8,672.1730044757716,2.4558858962845305,0.16875450553379326,14.553009346424453,5.588928654047335e-48,4.881742881688546e-45,KCTD11
ENSG00000116016.14,4321.826301063095,-1.3425224428458256,0.09500648189617097,-14.130851033017073,2.4516350385886174e-45,2.0075826422242542e-42,EPAS1
ENSG00000198959.12,10330.900881257145,1.3105088375007434,0.09311674309103338,14.073825973697936,5.5010877216753316e-45,4.2397206664347175e-42,TGM2
ENSG00000144381.18,5172.328829260663,-1.2552255181187546,0.09003232113615067,-13.941943318561671,3.5221764746740467e-44,2.5637531206210755e-41,HSPD1
ENSG00000080824.19,15596.399106588096,-1.0383853298564971,0.0755135534494885,-13.750979558273334,5.0244592564878675e-43,3.464761325184423e-40,HSP90AA1
ENSG00000105281.12,9630.130760588181,-1.2919249225298446,0.09454844614634604,-13.664158166387518,1.6621486117152637e-42,1.0888735555346693e-39,SLC1A5
ENSG00000161638.11,818.8045515242395,2.4519799134628526,0.18105223146826935,13.542942241463503,8.722404074224834e-42,5.44194943716637e-39,ITGA5
ENSG00000138119.17,1426.0322055776678,1.8582370569831903,0.13745770668828905,13.51860948180293,1.2144971452141586e-41,7.23288254390723e-39,MYOF
ENSG00000129521.15,338.79972881999254,3.396784348634171,0.25150419003666064,13.505875779401675,1.4438646838839833e-41,8.225006560107805e-39,EGLN3
ENSG00000196878.15,574.0430057930101,2.634918898498245,0.19661556314122383,13.401375030549598,5.935321650552836e-41,3.2401910110643023e-38,LAMB3
ENSG00000245532.11,4125.016169835155,1.2953845364646353,0.09746486051238812,13.290785311286497,2.6181584943162776e-40,1.372124503701275e-37,NEAT1
ENSG00000117394.24,9926.856892330174,1.1865370594087523,0.09000875546283076,13.182462676075268,1.107167382877954e-39,5.57927194248729e-37,SLC2A1
ENSG00000198743.7,6267.359233013936,1.2292276829322453,0.09415565409346684,13.055272089257755,5.929779761264182e-39,2.877480534521604e-36,SLC5A3
ENSG00000134013.16,648.5024246007148,2.5124999791707485,0.19336208616299333,12.99375709596375,1.3274686018080254e-38,6.211604864603125e-36,LOXL2
ENSG00000005884.18,2228.0644348943833,1.8905599556651311,0.14789742322115954,12.782913417213956,2.042717563876022e-37,9.22187079725135e-35,ITGA3
ENSG00000075426.12,1390.239603156042,1.9222346385642777,0.1504056431119449,12.780335888950551,2.1115564335028277e-37,9.22187079725135e-35,FOSL2
ENSG00000013588.10,433.71768251770567,2.843631594769107,0.22397906668557976,12.695970372807103,6.225352313830494e-37,2.631115032767972e-34,GPRC5A
ENSG00000024422.12,202.57968675524447,7.042739439027526,0.5553558488076328,12.681489632545546,7.489482583008427e-37,3.0664750250805125e-34,EHD2
ENSG00000148926.10,364.4155409148944,3.0805515279751625,0.24529118285527104,12.558753609145331,3.5589487171185555e-36,1.4130104876268883e-33,ADM
ENSG00000092068.21,1008.8672488022194,-1.8596335230890702,0.148902290790296,-12.488951736196277,8.577634645877457e-36,3.305416739126072e-33,SLC7A8
ENSG00000204580.14,1556.178641592245,1.7758445708465669,0.14288855490670796,12.428179233851283,1.8377249355907982e-35,6.879392030317326e-33,DDR1
ENSG00000120708.17,3408.4292996516915,1.1708407557869958,0.09507689333291673,12.314671995931077,7.552159631583684e-35,2.748566541472484e-32,TGFBI
ENSG00000275216.2,637.9592158452714,2.357065646748298,0.19262055366508835,12.236833514903898,1.975919344059334e-34,6.996890606990649e-32,LINC03061
ENSG00000012822.16,760.3482821031146,2.2840616883687557,0.19023619883483903,12.00645146590504,3.286468496855366e-33,1.1331397433105002e-30,CALCOCO1
ENSG00000123384.14,211.39598210696775,3.4879129960519015,0.29222358690811934,11.935768200492891,7.704430495657787e-33,2.5882935475412393e-30,LRP1
ENSG00000141994.16,351.3537297513456,-2.6143896731606526,0.22073310423180917,-11.844121353066628,2.3082484730252556e-32,7.560667873394225e-30,DUS3L
ENSG00000118898.16,1044.822232835189,1.8059803362265514,0.15367237829003766,11.752146718377627,6.884727899009212e-32,2.2000903642150902e-29,PPL
ENSG00000100234.12,586.9464589435565,2.13761601800604,0.1827532054127287,11.696736115672836,1.3245047030128607e-31,4.1318239568748814e-29,TIMP3
ENSG00000198898.16,703.0802464288623,-1.937380816618245,0.16852346324677234,-11.496208179517998,1.3783878005517216e-30,4.19991557275085e-28,CAPZA2
ENSG00000105974.13,241.97927582198952,3.246778947628376,0.283673878944616,11.445463218917917,2.4777742358864188e-30,7.378135917859967e-28,CAV1
ENSG00000076706.17,1056.3690943748138,1.6883474137552605,0.14754851814282846,11.442659235119685,2.5591906190901944e-30,7.451225664737717e-28,MCAM
ENSG00000100345.23,5111.899206397914,0.9992059770946937,0.0874712826390648,11.423245972255206,3.2005252236135994e-30,9.115930756475082e-28,MYH9
ENSG00000187193.9,894.5636972974962,1.8964670348238766,0.16935487735997407,11.19818374520635,4.1617834018761e-29,1.1601635347102267e-26,MT1X
ENSG00000133048.13,485.0957238017912,-2.152839016716405,0.1925058435609382,-11.183239827392141,4.925824274953809e-29,1.3445447843842668e-26,CHI3L1
ENSG00000114019.15,1508.757096179085,1.356815807772502,0.12172145501723136,11.146891134191799,7.415204019645886e-29,1.982734756436743e-26,AMOTL2
ENSG00000172081.14,462.881071268976,2.2475140055581586,0.20191001892895277,11.131265389802198,8.837198504174626e-29,2.3156994960339192e-26,MOB3A
ENSG00000071575.12,584.1608136153552,1.9866127891340726,0.17948915432133328,11.068149474800622,1.7905995813632679e-28,4.600085434317948e-26,TRIB2
ENSG00000198763.3,10777.178061789624,-1.0035218137250015,0.09115849088153834,-11.008539128067525,3.4759407322653275e-28,8.758033745026985e-26,MT-ND2
ENSG00000087253.13,1554.756096164857,1.9487928057060042,0.17724491277967191,10.994915313188667,4.042928563958169e-28,9.994424536788666e-26,LPCAT2
ENSG00000149294.18,553.898731214886,1.9925892799457394,0.18328017596761673,10.871821076261977,1.5703469687777104e-27,3.810127034245474e-25,NCAM1
ENSG00000268350.8,744.6005601140192,1.8140649655037842,0.16806539555328834,10.793804158980485,3.682247715509612e-27,8.771783557928532e-25,FAM156A
ENSG00000111669.15,6996.682349904148,0.9312354834131739,0.08755954651764256,10.635453476515405,2.0383472297766754e-26,4.769004536523929e-24,TPI1
ENSG00000205542.11,1773.7779768058635,1.2635216304636059,0.11883337929490952,10.632716480509375,2.099077080718712e-26,4.824931212557292e-24,TMSB4X
ENSG00000170525.21,487.6804312067652,3.2778691851201494,0.30836834302649757,10.62972013582629,2.1676196306914538e-26,4.8965780002274875e-24,PFKFB3
ENSG00000139112.11,678.9583160484867,1.6974594338657047,0.16262373335416086,10.437956372388705,1.663533160177945e-25,3.694171434686684e-23,GABARAPL1
ENSG00000111716.14,3494.9516626855548,-1.0323271649752124,0.09991678934675004,-10.331868865327893,5.056566244938343e-25,1.1041855156863696e-22,LDHB
ENSG00000138131.4,688.5752435700421,1.7155150349098953,0.16751262059226776,10.241109170427974,1.297403560442352e-24,2.7866526965435566e-22,LOXL4
ENSG00000092964.18,704.5506772063587,1.6188461699348706,0.158580036432247,10.208385660363493,1.8186538204862535e-24,3.84322618645337e-22,DPYSL2
ENSG00000101457.13,1151.7257187508753,1.3520003222204324,0.1325786217649747,10.197724974220623,2.0297118128841995e-24,4.221156217842664e-22,DNTTIP1
ENSG00000049449.10,3365.5469330600176,-0.9490424785493351,0.09327950118548853,-10.174180462887996,2.5856735053389167e-24,5.293358479211014e-22,RCN1
ENSG00000268621.6,636.3029768871709,2.2443830818592065,0.221002147888444,10.155480855290653,3.1326208971281447e-24,6.314399845257377e-22,IGFL2-AS1
ENSG00000111859.17,323.2792011545381,2.359579435781988,0.23276529316258496,10.137161789553556,3.779202971149034e-24,7.502290504241613e-22,NEDD9
ENSG00000133805.16,289.1558454513936,2.4250839123050247,0.23956509885145216,10.12285981527198,4.374437170539478e-24,8.554309822150484e-22,AMPD3
ENSG00000184613.11,1129.3453907129408,-1.430080195928172,0.14144545375800513,-10.110471266010812,4.964489163240975e-24,9.565402502468127e-22,NELL2
ENSG00000124942.14,1925.8051463440806,1.2853683743833335,0.12776086522395652,10.06073629925851,8.23798977961703e-24,1.564262928877425e-21,AHNAK
